Municipio,Cve_Municipio,Total_Crimes
Calera,32005,846
Calihualá,20011,3
Calimaya,15018,1100
Calkiní,4001,231
Calnali,13014,104
Calotmul,31008,1
Calpan,21026,134
Calpulalpan,29006,202
Caltepec,21027,8
Calvillo,1003,938
Camargo,8011,887
Camargo,28007,125
Camarón de Tejeda,30007,33
Camerino Z. Mendoza,30030,294
Camocuautla,21028,2
Campeche,4002,5044
Cananea,26019,470
Canatlán,10001,228
Candela,5005,50
Candelaria,4011,275
Candelaria Loxicha,20012,46
Canelas,10002,6
Cansahcab,31009,8
Cantamayec,31010,1
Capitán Luis Ángel Vidal,7120,0
Capulhuac,15019,589
Capulálpam de Méndez,20247,11
Carbó,26020,23
Cardonal,13015,69
Carichí,8012,26
Carlos A. Carrillo,30208,269
Carmen,4003,3678
Carrillo Puerto,30031,84
Carácuaro,16013,27
Casas,28008,15
Casas Grandes,8013,159
Casimiro Castillo,14021,142
Castaños,5006,492
Castillo de Teayo,30157,124
Catazajá,7016,73
Catemaco,30032,454
Catorce,24006,126
Caxhuacan,21029,8
Cazones de Herrera,30033,127
Cañada Morelos,21099,102
Cañadas de Obregón,14117,9
Cañitas de Felipe Pescador,32006,55
Cedral,24007,224
Celaya,11007,14757
Celestún,31011,6
Cenotillo,31012,0
Centla,27003,1603
Centro,27004,19604
Cerralvo,19011,68
Cerritos,24008,379
Cerro Azul,30034,151
Cerro de San Pedro,24009,91
Chacaltianguis,30054,90
Chacsinkín,31016,1
Chahuites,20025,50
Chalcatongo de Hidalgo,20026,51
Chalchicomula de Sesma,21045,506
Chalchihuites,32009,39
Chalchihuitán,7022,7
Chalco,15025,12729
Chalma,30055,73
Champotón,4004,1055
Chamula,7023,11
Chanal,7024,8
Chankom,31017,0
Chapa de Mota,15026,311
Chapab,31018,3
Chapala,14030,878
Chapantongo,13017,93
Chapulco,21046,71
Chapulhuacán,13018,154
Chapultenango,7025,13
Chapultepec,15027,290
Charapan,16021,50
Charcas,24015,272
Charo,16022,331
Chavinda,16023,34
Chemax,31019,18
Chenalhó,7026,14
Cherán,16024,40
Chiapa de Corzo,7027,488
Chiapilla,7028,7
Chiautempan,29010,277
Chiautla,15028,522
Chiautla,21047,139
Chiautzingo,21048,120
Chichimilá,31021,4
Chichiquila,21050,40
Chicoasén,7029,17
Chicoloapan,15029,3391
Chicomuselo,7030,8
Chiconamel,30056,21
Chiconcuac,15030,592
Chiconcuautla,21049,53
Chiconquiaco,30057,37
